EngWord,NldWord,Freq,NldWordLength,FreqScore,LenScore,TotalScore
three-decker,driedekker,0,10,5,3,8
fore-and-after,voor en na,0,10,5,3,8
skyhook,lucht haak,33887,10,5,3,8
whaleboat,walvisboot,18311,10,5,3,8
sloop of war,oorlogssloep,295505,12,4,4,8
warship,oorlogsschip,379728,12,4,4,8
fleet ballistic missile submarine,vloot ballistische raket onderzeeër,1792214,35,3,5,8
armored personnel carrier,gepantserde personeelscarrier,1633124,29,3,5,8
electric locomotive,elektrische locomotief,1409043,22,3,5,8
meteorological balloon,meteorologische ballon,2070017,22,3,5,8
brilliant pebble,briljante kiezelsteen,1341583,21,3,5,8
reconnaissance plane,verkenningsvliegtuig,1304699,20,3,5,8
stealth bomber,stealth bommenwerper,2505585,20,3,5,8
armored vehicle,gepantserd voertuig,1633124,19,3,5,8
reconnaissance vehicle,verkenningsvoertuig,1304699,19,3,5,8
lunar excursion module,maanexcursie module,2247674,19,3,5,8
destroyer escort,torpedojagerescorte,1378814,19,3,5,8
propeller plane,propeller vliegtuig,1075824,19,3,5,8
barrage balloon,versperringsballon,635351,18,3,5,8
ballistic missile,ballistische raket,1792214,18,3,5,8
tramp steamer,zwerver stoomboot,1087707,17,3,5,8
dive bomber,duik bommenwerper,2505585,17,3,5,8
diesel locomotive,diesel locomotief,1409043,17,3,5,8
camper trailer,camper aanhanger,2208353,16,3,5,8
armored car,gepantserde auto,1633124,16,3,5,8
armored car,gepantserde auto,1633124,16,3,5,8
tanker plane,tanker vliegtuig,1278916,16,3,5,8
steam locomotive,stoomlocomotief,1409043,15,3,5,8
hangar queen,hangar koningin,795985,15,3,5,8
side-wheeler,zijwieler,0,9,5,3,8
tank destroyer,tankvernietiger,1378814,15,3,5,8
submersible,onderdompelbaar,631600,15,3,5,8
glider,zweefvliegtuig,1311196,14,3,5,8
whaler,walvisvaarder,305342,13,4,4,8
gunboat,kanonneerboot,103764,13,4,4,8
angledozer,hoekdozer,0,9,5,3,8
intercontinental ballistic missile,intercontinentale ballistische raket,1792214,36,3,5,8
twinjet,twinjet,0,7,5,2,7
cattleship,veeschip,0,8,5,2,7
PT boat,PT boot,0,7,5,2,7
stagecoach,postkoets,387675,9,4,3,7
dumpcart,dumpcar,0,7,5,2,7
unicycle,eenwieler,169446,9,4,3,7
steamroller,stoomwals,230844,9,4,3,7
destroyer,torpedojager,1378814,12,3,4,7
bomber,bommenwerper,2505585,12,3,4,7
knockabout,klopjacht,32622,9,5,2,7
orthopter,orthopter,0,9,5,2,7
pedicab,fietstaxi,29112,9,5,2,7
buckboard,buckboard,25063,9,5,2,7
wheeled vehicle,wielvoertuig,1635339,12,3,4,7
airship,luchtschip,296641,10,4,3,7
pocket battleship,zak slagschip,733158,13,3,4,7
swamp buggy,moeras buggy,1955438,12,3,4,7
barouche,barouche,0,8,5,2,7
flagship,vlaggenschip,1888773,12,3,4,7
dugout canoe,boomstamkano,733159,12,3,4,7
mailboat,mailboot,0,8,5,2,7
chaise,chaise longue,599684,13,3,4,7
fireboat,blusboot,20949,8,5,2,7
stockcar,stockcar,34332,8,5,2,7
surfboat,surfboot,0,8,5,2,7
post chaise,chaise longue,599684,13,3,4,7
interceptor,onderschepper,787823,13,3,4,7
jolly boat,vrolijke boot,2522092,13,3,4,7
moped,bromfiets,501534,9,4,3,7
hang glider,deltavlieger,1311196,12,3,4,7
bulldozer,bulldozer,323263,9,4,3,7
icebreaker,ijsbreker,295149,9,4,3,7
racing skiff,race skiff,281833,10,4,3,7
lightship,lichtschip,165086,10,4,3,7
brigantine,brigantijn,168210,10,4,3,7
windjammer,windjammer,212417,10,4,3,7
ironclad,ijzersterk,203983,10,4,3,7
subcompact,subcompact,59644,10,4,3,7
nonsmoker,niet-roker,48279,10,4,3,7
shipwreck,schipbreuk,461108,10,4,3,7
dogsled,hondenslee,38557,10,4,3,7
biplane,tweedekker,180085,10,4,3,7
tricycle,driewieler,400029,10,4,3,7
snowplow,sneeuwploeg,96186,11,4,3,7
watering cart,sproeiwagen,2050112,11,3,4,7
barge,binnenschip,1319916,11,3,4,7
lorry,vrachtwagen,549887,11,3,4,7
lorry,vrachtwagen,549887,11,3,4,7
gondola car,gondel auto,538006,11,3,4,7
baggage car,bagagewagen,2340989,11,3,4,7
outrigger canoe,stempelkano,603622,11,3,4,7
starship,ruimteschip,1229480,11,3,4,7
monoplane,eendekker,45241,9,4,3,7
motorboat,motorboot,167980,9,4,3,7
cockleshell,kokkels,0,7,5,2,7
tugboat,sleepboot,216091,9,4,3,7
hearse,lijkwagen,246067,9,4,3,7
tandem trailer,tandemtrailer,2422935,13,3,4,7
hovercraft,hovercraft,321362,10,4,3,7
funny wagon,grappige wagen,5198530,14,2,5,7
autogiro,autogiro,0,8,5,2,7
abandoned ship,verlaten schip,6371760,14,2,5,7
spacecraft,ruimtevaartuig,3448191,14,2,5,7
shuttle helicopter,shuttle helikopter,5528827,18,2,5,7
troop carrier,troepen vervoerder,2609404,18,2,5,7
go-kart,skelter,0,7,5,2,7
trireme,trireem,21776,7,5,2,7
coracle,coracle,23659,7,5,2,7
minicab,minicab,24054,7,5,2,7
handcart,handkar,27208,7,5,2,7
battle cruiser,gevechtskruiser,3735652,15,2,5,7
sounding rocket,klinkende raket,3264254,15,2,5,7
caroche,caroche,0,7,5,2,7
Sno-cat,Sno-kat,0,7,5,2,7
cargo helicopter,vrachthelikopter,5528827,16,2,5,7
droshky,droshky,0,7,5,2,7
stealth fighter,camouflagestrijder,3431519,18,2,5,7
landing craft,landingsvaartuig,8882585,16,2,5,7
safety bicycle,veiligheidsfiets,8344882,16,2,5,7
Pullman,Pullman,0,7,5,2,7
patrol boat,patrouilleboot,6645446,14,2,5,7
attack submarine,aanval onderzeeër,2766790,17,2,5,7
snowmobile,sneeuwscooter,1678313,13,3,4,7
cabin liner,cabine voering,4486145,14,2,5,7
jumbojet,jumbojet,0,8,5,2,7
stealth aircraft,stealth-vliegtuigen,3431519,19,2,5,7
applecart,appelkar,0,8,5,2,7
auxiliary research submarine,hulponderzoek onderzeeër,2766790,24,2,5,7
propjet,propjet,0,7,5,2,7
gypsy cab,zigeuner taxi,2201227,13,3,4,7
guided missile cruiser,geleide raketkruiser,3735652,20,2,5,7
cargo liner,vrachtschip,4486145,11,2,4,6
pilot balloon,proefballon,6719614,11,2,4,6
Stinger,Stinger,0,7,5,1,6
parlor car,salon auto,1180891,10,3,3,6
locomotive,locomotief,1409043,10,3,3,6
skateboard,skateboard,2296744,10,3,3,6
kite balloon,kabelballon,2808067,11,2,4,6
Caterpillar,rups,0,4,5,1,6
trailer truck,vrachtwagen met aanhanger,18462738,25,1,5,6
rolling stock,rollend materieel,15086116,17,1,5,6
bumboat,bumboat,0,7,5,1,6
trial balloon,proefballon,6719614,11,2,4,6
tramcar,tram,0,4,5,1,6
treasure ship,schat schip,8534047,11,2,4,6
carrack,kraak,30181,5,5,1,6
personnel carrier,personeelsvervoerder,22919197,20,1,5,6
oil tanker,Olietanker,1278916,10,3,3,6
oxcart,ossekar,0,7,5,1,6
Model T,Model T,0,7,5,1,6
picket ship,piketschip,816389,10,3,3,6
camper,kampeerder,2208353,10,3,3,6
catboat,catboat,0,7,5,1,6
torpedo boat,torpedoboot,965365,11,3,3,6
recreational vehicle,recreatie voertuig,9183129,18,1,5,6
surface ship,oppervlakte schip,50022259,17,1,5,6
pastry cart,patisserie,2202621,10,3,3,6
space capsule,ruimtecapsule,3315216,13,2,4,6
gharry,gharry,0,6,5,1,6
cabin car,cabine auto,8052267,11,2,4,6
switch engine,motor wisselen,45332755,14,1,5,6
welcome wagon,welkom wagen,5198530,12,2,4,6
container ship,containerschip,12181942,14,1,5,6
fire engine,brandweerwagen,78078059,14,1,5,6
transport ship,transportschip,47041301,14,1,5,6
traction engine,tractiemotor,2679735,12,2,4,6
hospital ship,hospitaalschip,60649546,14,1,5,6
capital ship,kapitaal schip,60649546,14,1,5,6
garbage truck,vuilniswagen,6609450,12,2,4,6
military vehicle,militair voertuig,54079229,17,1,5,6
covered wagon,bedekte wagon,5198530,13,2,4,6
cart,winkelwagentje,152155277,14,1,5,6
guided missile,geleide raket,5339587,13,2,4,6
cabin cruiser,kajuitcruiser,3735652,13,2,4,6
refrigerator car,koelkast auto,5726901,13,2,4,6
motor scooter,motor scooter,4359214,13,2,4,6
racing gig,race optreden,6049004,13,2,4,6
single prop,enkele steun,4254743,12,2,4,6
dump truck,Vuilniswagen,6942258,12,2,4,6
water scooter,waterscooter,4359214,12,2,4,6
luxury liner,luxe voering,4486145,12,2,4,6
beach wagon,strandwagen,5198530,11,2,4,6
chuck wagon,chuck wagen,5198530,11,2,4,6
dining car,restauratiewagen,32489479,16,1,5,6
Exocet,Exocet,0,6,5,1,6
freight car,goederenwagon,8453128,13,2,4,6
Indiaman,Indiër,0,6,5,1,6
skibob,skibob,0,6,5,1,6
sampan,sampan,33545,6,5,1,6
passenger van,passagiersbusje,12804602,15,1,5,6
Humvee,Humvee,0,6,5,1,6
bogy,boeman,0,6,5,1,6
fanjet,fanjet,0,6,5,1,6
sport utility,sportfaciliteit,28301196,15,1,5,6
MANPAD,MANPAD,0,6,5,1,6
passenger ship,passagiersschip,12804602,15,1,5,6
banana boat,bananen boot,5567941,12,2,4,6
space shuttle,ruimteschip,8440760,11,2,4,6
skidder,slipper,40584,7,4,2,6
stanhope,stanhope,379970,8,4,2,6
bareboat,bareboat,264403,8,4,2,6
dray,droevig,116570,7,4,2,6
showboat,showboot,156738,8,4,2,6
battleship,slagschip,733158,9,3,3,6
houseboat,woonboot,380109,8,4,2,6
felucca,felucca,42203,7,4,2,6
sharpie,scherpte,323182,8,4,2,6
trimaran,trimaran,52592,8,4,2,6
scow,schouwen,66315,8,4,2,6
dune buggy,duinbuggy,1927085,9,3,3,6
keelboat,kielboot,93446,8,4,2,6
barrow,kruiwagen,2049454,9,3,3,6
yawl,geeuwen,59825,7,4,2,6
minibike,minibike,40527,8,4,2,6
loaner,leenman,124111,7,4,2,6
scow,schouwen,66315,8,4,2,6
speedboat,speedboot,141990,9,4,2,6
hatchback,hatchback,2483111,9,3,3,6
yawl,geeuwen,59825,7,4,2,6
doodlebug,doodlebug,121940,9,4,2,6
toboggan,rodelbaan,124358,9,4,2,6
caisson,caisson,70178,7,4,2,6
airliner,vliegtuig,398739,9,4,2,6
sidewinder,zijwind,472328,7,4,2,6
luge,rodelen,443334,7,4,2,6
catamaran,catamaran,521463,9,3,3,6
picket boat,piketboot,816389,9,3,3,6
bandwagon,bandwagon,771081,9,3,3,6
mackinaw,mackinaw,255258,8,4,2,6
hardtop,hardtop,397862,7,4,2,6
baby buggy,baby buggy,1955438,10,3,3,6
kamikaze,kamikaze,406456,8,4,2,6
scull,wrikken,174118,7,4,2,6
bobsled,bobslee,291423,7,4,2,6
bobsled,bobslee,291423,7,4,2,6
brougham,brougham,226155,8,4,2,6
brougham,brougham,226155,8,4,2,6
schooner,schoener,559495,8,3,2,5
sailboat,zeilboot,772469,8,3,2,5
hackney,hackney,1054260,7,3,2,5
trailer,aanhangwagen,18462738,12,1,4,5
rigger,tuiger,187373,6,4,1,5
steamer,stoomboot,1320395,9,3,2,5
dinky,dinky,426751,5,4,1,5
steamboat,stoomboot,1468483,9,3,2,5
airbus,luchtbus,1427894,8,3,2,5
rowing boat,roeiboot,2490271,8,3,2,5
frigate,fregat,503810,6,4,1,5
police boat,politie boot,34104031,12,1,4,5
delta wing,deltavleugel,17347644,12,1,4,5
paddle steamer,raderboot,1320395,9,3,2,5
lugger,logger,41160,6,4,1,5
moving van,verhuiswagen,51765877,12,1,4,5
frigate,fregat,503810,6,4,1,5
corsair,zeerover,1759975,8,3,2,5
galley,kombuis,1031511,7,3,2,5
roadster,roadster,1249088,8,3,2,5
police van,politie busje,55147325,13,1,4,5
remise,remise,75621,6,4,1,5
aircraft carrier,vliegdekschip,22919197,13,1,4,5
galley,kombuis,1031511,7,3,2,5
stock car,voorraad auto,176295589,13,1,4,5
factory ship,fabrieksschip,26708317,13,1,4,5
stock car,voorraad auto,176295589,13,1,4,5
iron horse,ijzeren paard,32552371,13,1,4,5
mountain bike,Mountain bike,24286396,13,1,4,5
wherry,wherry,64801,6,4,1,5
passenger car,personenwagen,12804602,13,1,4,5
hansom,hansom,45070,6,4,1,5
wherry,wherry,64801,6,4,1,5
assault gun,aanvalsgeweer,10011305,13,1,4,5
troika,trojka,248534,6,4,1,5
motor vehicle,motorvoertuig,40615655,13,1,4,5
ketch,kitsch,163062,6,4,1,5
landau,landauer,919639,8,3,2,5
helicopter,helikopter,5528827,10,2,3,5
cruise ship,Cruise schip,27827938,12,1,4,5
tracked vehicle,rupsvoertuig,11801246,12,1,4,5
dhow,dhow,88871,4,4,1,5
small ship,klein schip,60649546,11,1,4,5
aircraft,vliegtuigen,24745739,11,1,4,5
sulky,sulky,156355,5,4,1,5
sailing vessel,zeilschip,8794883,9,2,3,5
space probe,ruimtesonde,9643801,11,1,4,5
guard boat,bewaker boot,21137924,12,1,4,5
clipper,klipper,1449564,7,3,2,5
limber,lenig,127125,5,4,1,5
longboat,sloep,240815,5,4,1,5
submarine,onderzeeër,2766790,10,2,3,5
skiff,skiff,281833,5,4,1,5
privateer,kaper,285131,5,4,1,5
pung,Pung,36695,4,4,1,5
milk float,melkwagen,8808655,9,2,3,5
panda car,panda auto,3424825,10,2,3,5
wain,wain,129640,4,4,1,5
bassinet,wieg,346064,4,4,1,5
test rocket,test raket,7447070,10,2,3,5
canal boat,kanaalboot,8278196,10,2,3,5
trawler,trawler,270147,7,4,1,5
dinghy,bijboot,858539,7,3,2,5
tow truck,takelwagen,2869301,10,2,3,5
cruise missile,kruisraket,5339587,10,2,3,5
water wagon,waterwagen,5198530,10,2,3,5
transporter,vervoerder,2941706,10,2,3,5
streetcar,tram,471936,4,4,1,5
finisher,afmaker,505570,7,3,2,5
ladder truck,ladderwagen,5508719,11,2,3,5
nautilus,nautilus,1470549,8,3,2,5
serving cart,serveerwagen,29916558,12,1,4,5
milk wagon,melkwagen,5198530,9,2,3,5
trail bike,trail fiets,23648838,11,1,4,5
shopping cart,winkelwagen,152155277,11,1,4,5
sloop,sloep,295505,5,4,1,5
galleon,galjoen,232762,7,4,1,5
sleeping car,slaaprijtuig,11840656,12,1,4,5
fishing boat,vissersboot,34104031,11,1,4,5
airplane,vliegtuig,5216750,9,2,3,5
ambulance,ambulance,4363682,9,2,3,5
convertible,cabriolet,5600483,9,2,3,5
pilot engine,pilootmotor,21909830,11,1,4,5
forklift,heftruck,1006085,8,3,2,5
school ship,schoolschip,60649546,11,1,4,5
touring car,toerwagen,5635653,9,2,3,5
small boat,kleine boot,34104031,11,1,4,5
sister ship,zusterschip,25039506,11,1,4,5
limousine,limousine,4007578,9,2,3,5
delivery truck,vrachtwagen,32136249,11,1,4,5
sound truck,geluidswagen,32136249,12,1,4,5
kayak,kajakken,2628993,8,2,2,4
minivan,busje,979152,5,3,1,4
panzer,panzer,680717,6,3,1,4
pony cart,pony kar,4769062,8,2,2,4
chariot,wagen,977505,5,3,1,4
gondola,gondel,538006,6,3,1,4
punt,punt,1916106,4,3,1,4
smoker,roker,1918369,5,3,1,4
smack,slaan,1451860,5,3,1,4
cruiser,kruiser,3735652,7,2,2,4
chariot,wagen,977505,5,3,1,4
cruiser,kruiser,3735652,7,2,2,4
brig,brik,805525,4,3,1,4
cutter,snijder,4273307,7,2,2,4
lander,lander,1096557,6,3,1,4
sled,slee,1134521,4,3,1,4
hulk,hulk,2112390,4,3,1,4
picket,piket,816389,5,3,1,4
drone,drone,725818,5,3,1,4
tractor,tractor,5098075,7,2,2,4
buzz bomb,zoembom,7885592,7,2,2,4
buggy,buggy,1955438,5,3,1,4
wreck,wrak,2447935,4,3,1,4
laundry truck,waswagen,9123546,8,2,2,4
pontoon,ponton,504691,6,3,1,4
mail car,post auto,264720374,9,1,3,4
flying boat,vliegboot,17948471,9,1,3,4
bottom,onderkant,45598411,9,1,3,4
shooting brake,schietrem,9321885,9,1,3,4
weather ship,weerschip,60649546,9,1,3,4
technical,technisch,102792861,9,1,3,4
club car,club auto,132428495,9,1,3,4
cargo ship,vrachtschip,9748668,11,1,3,4
pilot boat,loodsboot,21909830,9,1,3,4
slave ship,slavenschip,10692715,11,1,3,4
tractor,tractor,5098075,7,2,2,4
amphibian,amfibie,569502,7,3,1,4
weapons carrier,wapendrager,21937267,11,1,3,4
guard ship,wachtschip,21137924,10,1,3,4
hand truck,steekwagen,32136249,10,1,3,4
tank engine,tank motor,22070512,10,1,3,4
sports car,sportwagen,231864260,10,1,3,4
half track,half spoor,86290420,10,1,3,4
amphibian,amfibie,569502,7,3,1,4
horse cart,paardenkar,58453720,10,1,3,4
carrier,vervoerder,22919197,10,1,3,4
electric,elektrisch,48562078,10,1,3,4
truck,vrachtauto,32136249,10,1,3,4
motorcycle,motorfiets,15081508,10,1,3,4
river boat,rivierboot,34104031,10,1,3,4
slip coach,slip coach,12886015,10,1,3,4
pace car,tempo auto,12247704,10,1,3,4
hot rod,hete staaf,13124744,10,1,3,4
racing boat,race boot,34104031,9,1,3,4
tank car,tankwagen,22070512,9,1,3,4
liner,voering,4486145,7,2,2,4
coal car,kolen auto,11625191,10,1,3,4
gig,optreden,6049004,8,2,2,4
gig,optreden,6049004,8,2,2,4
bumper car,botsauto,5888291,8,2,2,4
gig,optreden,6049004,8,2,2,4
ice wagon,ijswagen,5198530,8,2,2,4
cattle car,veewagen,8542988,8,2,2,4
scooter,scooter,4359214,7,2,2,4
clarence,clarence,2726479,8,2,2,4
canoe,kano,3790795,4,2,1,3
yacht,jacht,5932756,5,2,1,3
fighter,vechter,6769666,7,2,1,3
trap,val,7568482,3,2,1,3
ark,ark,3908616,3,2,1,3
compact,compact,25317344,7,1,2,3
surrey,Surrey,6743263,6,2,1,3
balloon,ballon,6719614,6,2,1,3
jeep,jeep,8547455,4,2,1,3
tea cart,thee kar,27406794,8,1,2,3
water cart,waterkar,152155277,8,1,2,3
rocket,raket,7447070,5,2,1,3
corvette,korvet,2925839,6,2,1,3
junk,rommel,6474279,6,2,1,3
ferry,veerboot,9208954,8,1,2,3
wagon,wagen,5198530,5,2,1,3
carriage,koets,4664470,5,2,1,3
tender,teder,8921535,5,2,1,3
vessel,schip,8794883,5,2,1,3
missile,raket,5339587,5,2,1,3
craft,Ambacht,16528294,7,1,2,3
racer,racer,3625077,5,2,1,3
ordinary,normaal,14494084,7,1,2,3
wagon,wagen,5198530,5,2,1,3
bicycle,fiets,8344882,5,2,1,3
berlin,berlijn,17932276,7,1,2,3
pirate,piraat,4308440,6,2,1,3
tender,teder,8921535,5,2,1,3
sedan,sedan,4769270,5,2,1,3
sea boat,zeeboot,34104031,7,1,2,3
pickup,Raap op,9354139,7,1,2,3
coupe,coupe,4874541,5,2,1,3
tender,teder,8921535,5,2,1,3
bark,blaffen,3559940,7,2,1,3
bus,bus,41043865,3,1,1,2
van,van,55147325,3,1,1,2
van,van,55147325,3,1,1,2
van,van,55147325,3,1,1,2
boat,boot,34104031,4,1,1,2
mobile home,camper,145490029,6,1,1,2
laundry cart,waskar,9123546,6,1,1,2
shell,schelp,20599318,6,1,1,2
tin can,blikje,10695557,6,1,1,2
tank,tank,22070512,4,1,1,2
coach,coach,24514961,5,1,1,2
car,auto,264720374,4,1,1,2
cab,taxi,9268943,4,1,1,2
launch,launch,23714910,6,1,1,2
car,auto,264720374,4,1,1,2
cab,taxi,9268943,4,1,1,2
ship,schip,60649546,5,1,1,2
jet,Jet,16673750,3,1,1,2
