EngWord,NldWord,Group
fault,schuld,11
knock,klop,11
change,Wijzigen,12
slice,plak,12
lap,ronde,12
increase,toenemen,12
speed,snelheid,12
spin,draaien,12
boating,varen,12
voyage,reis,12
approach,nadering,12
career,carrière,12
killing,moorden,13
sacrifice,offer,13
cutting,snijden,13
tear,traan,13
casting,gieten,13
strike,staking,13
recruitment,werving,13
reaction,reactie,13
attachment,bijlage,13
landing,landen,13
joining,meedoen,14
punch,ponsen,14
passage,passage,14
turning,draaien,14
abortion,abortus,14
trim,trimmen,14
filling,vulling,14
motion,beweging,14
withdrawal,opname,14
cuisine,keuken,14
vacation,vakantie,15
walk,wandelen,15
base hit,honkslag,15
dance step,dansstap,15
device,apparaat,15
campaign,campagne,15
band aid,pleister,15
brush,borstel,15
dive,duiken,15
economy,economie,15
sack,zak,16
spare,Reserve,16
jump,springen,16
attention,aandacht,16
field trip,excursie,16
bowling,bowling,16
splash,plons,16
lob,lob,16
progress,voortgang,16
parking,parkeren,16
advent,komst,17
reach,bereiken,17
movement,beweging,17
nip,kneep,17
flop,flop,17
toss,toss,17
flex,buigen,17
butterfly,vlinder,17
baking,bakken,17
whip,zweep,17
dry cleaning,stomerij,18
updating,updaten,18
retirement,pensioen,18
skip,overslaan,18
promotion,Promotie,18
demolition,sloop,18
field goal,veld doel,18
welding,lassen,18
sweep,vegen,18
advance,voorschot,18
jerk,eikel,19
fracture,breuk,19
court,rechtbank,19
beat,verslaan,19
on the road,op de weg,19
circus,circus,19
constitution,grondwet,19
service,onderhoud,19
drawing,tekening,19
split,splitsen,19
car care,auto zorg,20
performance,prestatie,20
solution,oplossing,20
return,opbrengst,20
drop shot,drop Shot,20
fix,repareren,20
rotation,rotatie,20
drive,drijfveer,20
dim sum,dim sum,20
catching,vangen,20
sweeping,vegen,21
punt,punt,21
stride,pas,21
security,veiligheid,21
orgasm,orgasme,21
swat,mep,21
prohibition,verbod,21
spill,morsen,21
assassination,moord,21
population,bevolking,21
odyssey,odyssee,22
homer,Homerus,22
umbrella,paraplu,22
spiral,spiraal,22
veto,veto,22
burning,brandend,22
closing,sluitend,22
introduction,invoering,22
appointment,afspraak,22
translation,vertaling,22
arrival,aankomst,23
shooting,schieten,23
finish,af hebben,23
face lift,facelift,23
resistance,weerstand,23
round trip,rondvaart,23
jag,jag,23
migration,migratie,23
golf stroke,golfslag,23
honor killing,eerwraak,23
swimming stroke,zwemslag,24
scaling,schalen,24
resolution,oplossing,24
graft,enten,24
stunt,stunt,24
homicide,moord,24
swing,schommel,24
swimming kick,zwemtrap,24
conversion,conversie,24
variation,variatie,24
amendment,wijziging,25
bending,buigen,25
smack,slaan,25
repair,reparatie,25
annotation,annotatie,25
strut,stut,25
boiling,kokend,25
burn,brandwond,25
rollover,rol om,25
chew,kauwen,25
injection,injectie,26
stem turn,stuurpen,26
appearance,uiterlijk,26
inclusion,inclusie,26
tying,binden,26
sleeper,slaper,26
admission,erkenning,26
golfing,golfen,26
safety,veiligheid,26
connection,verbinding,26
transfer,overdracht,27
reference,referentie,27
coloring,kleuren,27
hat trick,hattrick,27
placement,plaatsing,27
packing,inpakken,27
soar,zweven,27
federation,federatie,27
back door,achterdeur,27
bonding,binding,27
wandering,dwalen,28
dismissal,ontslag,28
fetch,ophalen,28
finale,finale,28
shave,scheren,28
correction,correctie,28
riot,opstand,28
corner kick,hoekschop,28
kick turn,kick-turn,28
zoning,zonering,28
hitch,haperen,29
grand tour,grote tour,29
gesture,gebaar,29
pitching,pitchen,29
crawl,kruipen,29
eye contact,oogcontact,29
stab,steken,29
putt,putt,29
marking,markeren,29
havoc,ravage,29
addition,toevoeging,30
decision,beslissing,30
spree,Spree,30
double play,dubbelspel,30
package tour,pakketreis,30
tour de force,krachttoer,30
work flow,werkstroom,30
kickoff,aftrap,30
gait,gang,30
open frame,open frame,30
collision course,ramkoers,31
inflation,inflatie,31
stirring,roeren,31
infusion,infusie,31
switch,schakelaar,31
tension,spanning,31
ordination,wijding,31
nod,knikken,31
trap block,val blok,31
intention,intentie,31
overhead,overhead,32
driving,het rijden,32
induction,inductie,32
junction,knooppunt,32
closure,sluiting,32
election,verkiezing,32
melee,melee,32
dash,streepje,32
jump ball,spring bal,32
crash dive,crashduik,32
whitening,bleken,33
fencing,schermen,33
startup,beginnen,33
clearing,opruimen,33
reform,hervorming,33
babel,Babel,33
haste,haast,33
recognition,herkenning,33
corruption,corruptie,33
extension,verlenging,33
notch,inkeping,34
descent,herkomst,34
ground stroke,grondslag,34
jab,jaba,34
lowering,verlagen,34
attainment,bereiken,34
trot,draf,34
bubble bath,bubbelbad,34
suicide,zelfmoord,34
tune,afstemmen,34
crossing,kruispunt,35
trek,trektocht,35
separation,scheiding,35
hair coloring,haarverf,35
shaking,schudden,35
track record,trackrecord,35
hajj,hadj,35
fade,vervagen,35
first step,eerste stap,35
explosion,explosie,35
crouch,hurken,36
slaughter,slachten,36
dressing,dressing,36
glide,glijden,36
camera care,camera zorg,36
squat,hurken,36
interaction,interactie,36
ploy,truc,36
mush,brij,36
swipe,veeg,36
completion,voltooiing,37
consumption,consumptie,37
juke,juke,37
quick march,snelle mars,37
turnout,blijken,37
mechanism,mechanisme,37
combination,combinatie,37
immigration,immigratie,37
breakage,breuk,37
gold rush,goudkoorts,37
surprise,verrassing,38
skid,slippen,38
thrash,thrash,38
replacement,vervanging,38
power dive,powerduik,38
revision,herziening,38
haircut,kapsel,38
salve,zalf,38
icing,glazuur,38
ruse,list,38
fixation,fixatie,39
cleaning,schoonmaak,39
pruning,snoeien,39
pack riding,pak rijden,39
sucker punch,zuignap,39
grounding,aarding,39
wading,waden,39
consignment,zending,39
trimming,trimmen,39
shank,schacht,39
shrinking,krimpen,40
jog,joggen,40
inclination,neiging,40
volition,wil,40
pass,slagen voor,40
masse,massa,40
parry,pareren,40
salaam,salaam,40
thrill,sensatie,40
consideration,overweging,40
check,controleren,41
air travel,vliegreizen,41
investment,investering,41
registration,registratie,41
weaning,spenen,41
tattoo,tatoeëren,41
scud,sud,41
tremor,tremor,41
development,ontwikkeling,41
installation,installatie,41
thump,dreun,42
gallop,galop,42
reversal,omkering,42
budget cut,bezuiniging,42
blocking,blokkeren,42
aggression,agressie,42
scrum,scrum,42
docking,aanmeren,42
moderation,met mate,42
awakening,ontwaken,42
regression,regressie,43
tumble,tuimelen,43
extraction,extractie,43
indulgence,mildheid,43
bustle,drukte,43
canter,galop,43
sponge bath,sponsbad,43
volley,volley,43
dyeing,verven,43
excursion,excursie,43
intersection,kruispunt,44
tinting,verven,44
coloration,kleur,44
patching,patchen,44
staining,kleuring,44
relief,Verlichting,44
seasoning,kruiden,44
water travel,water reizen,44
decoration,decoratie,44
expedition,expeditie,44
insertion,invoeging,45
poison pill,vergifpil,45
enclosure,behuizing,45
commute,pendelen,45
improvement,verbetering,45
feat,prestatie,45
superannuation,pensioen,45
figure eight,figuur acht,45
measure,meeteenheid,45
ocean trip,oceaan reis,45
broil,braden,46
dispatch,verzenden,46
pocket veto,zak veto,46
stoop,bukken,46
recession,recessie,46
abort,afbreken,46
inversion,inversie,46
chasse,jagen,46
segue,segue,46
rampage,razernij,46
holocaust,holocaust,47
impairment,beperking,47
climb,beklimmen,47
flexion,flexie,47
percussion,percussie,47
incursion,inval,47
rupture,scheuren,47
pursuit,nastreven,47
diversion,afleiding,47
pacing,ijsberen,47
free kick,vrije trap,48
perfection,perfectie,48
world record,wereldrecord,48
spank,pak slaag,48
stalk,stengel,48
chop,karbonade,48
application,sollicitatie,48
airing,luchten,48
sabotage,sabotage,48
first base,eerste basis,48
probation,proeftijd,49
purge,zuiveren,49
goose step,gans stap,49
rape,verkrachting,49
stretching,uitrekken,49
exploration,exploratie,49
spoil,Bederven,49
sortie,sortie,49
scrub,schrobben,49
reverence,eerbied,49
manicure,manicure,50
withholding,inhouding,50
accommodation,accommodatie,50
recall,herinneren,50
frying,frituren,50
initiation,initiatie,50
makeover,make-over,50
cleavage,decollete,50
accomplishment,prestatie,50
touchdown,touchdown,50
pleasing,aangenaam,51
linkage,koppeling,51
purification,zuivering,51
fast break,Snelle pauze,51
rinse,afspoelen,51
blockbuster,kassucces,51
agitation,agitatie,51
activation,activering,51
sailing,het zeilen,51
layoff,ontslag,51
annealing,gloeien,52
stroke,hartinfarct,52
buildup,opbouwen,52
slicing,snijden,52
downturn,neergang,52
rock climbing,rotsklimmen,52
escalade,escalade,52
tetanus,tetanus,52
appreciation,waardering,52
pitch,toonhoogte,52
filtration,filtratie,53
spending cut,bezuiniging,53
somersault,salto,53
cremation,crematie,53
encounter,ontmoeting,53
courtesy,beleefdheid,53
inspiration,inspiratie,53
roughness,ruwheid,53
stinger,stinger,53
darning,stop,53
expansion,uitbreiding,54
cancellation,annulering,54
modulation,modulatie,54
scrape,schrapen,54
cattle drive,vee rijden,54
termination,beëindiging,54
circulation,circulatie,54
bank withdrawal,bankopname,54
service call,service oproep,54
deference,eerbied,54
alteration,wijziging,55
nomination,voordracht,55
dispersion,spreiding,55
mudra,mudra,55
tennis stroke,tennis slag,55
passing,voorbijgaan,55
shearing,scheren,55
backstroke,rugslag,55
pivot,scharnier,55
kneel,knielen,55
reduction,vermindering,56
takeaway,afhalen,56
abbreviation,afkorting,56
destruction,verwoesting,56
elimination,eliminatie,56
contamination,besmetting,56
adaptation,aanpassing,56
mud bath,modder bad,56
skimming,skimmen,56
reunion,bijeenkomst,56
luff,luffie,57
eye movement,oog beweging,57
effusion,effusie,57
prowl,sluipen,57
wilt,verwelken,57
drain,droogleggen,57
outreach,overtreffen,57
furor,furore,57
aliyah,alijah,57
concentration,concentratie,57
forwarding,doorsturen,58
derivation,afleiding,58
schism,schisma,58
spot welding,puntlassen,58
upset,van streek,58
drifting,afdrijven,58
restitution,teruggave,58
call,telefoongesprek,58
crash landing,noodlanding,58
forced landing,noodlanding,58
cession,cessie,59
penetration,penetratie,59
distraction,afleiding,59
removal,verwijdering,59
enhancement,verbetering,59
back circle,terug cirkel,59
spread,verspreiding,59
excitation,opwinding,59
basting,rijgen,59
pedicure,pedicure,59
satisfaction,tevredenheid,60
last mile,laatste mijl,60
solo homer,solo homer,60
pilgrimage,bedevaart,60
jog trot,jog draf,60
rehabilitation,revalidatie,60
frog kick,kikker trap,60
slippage,slippen,60
confusion,verwardheid,60
shutting,afsluiten,60
heave,deining,61
degradation,degradatie,61
striping,striping,61
junket,junket,61
stimulation,stimulatie,61
flood,overstroming,61
knockout,knock out,61
restoration,restauratie,61
consolidation,consolidatie,61
salting,zouten,61
brain drain,brain drain,62
mikvah,mikwe,62
ventilation,ventilatie,62
wiggle,wiebelen,62
escalation,escalatie,62
cakewalk,cakewalk,62
trail riding,trail rijden,62
shift,verschuiving,62
commotion,commotie,62
sweetening,zoeten,62
adjournment,verdaging,63
manslaughter,doodslag,63
lynching,lynchen,63
reversion,omkering,63
motoring,autorijden,63
chomping,kauwen,63
subtraction,aftrekken,63
block vote,stem blokkeren,63
promenade,promenade,63
accession,toetreding,63
pay cut,loonsverlaging,64
double fault,dubbele fout,64
word division,woordverdeling,64
backlash,terugslag,64
oil change,olie vervanging,64
tax credit,belastingkrediet,64
lunge,uithaal,64
thwack,dreun,64
bundling,bundelen,64
devoir,devoir,64
remise,remise,65
place kick,plaats schop,65
cold turkey,koude kalkoen,65
flyover,viaduct,65
reconstruction,wederopbouw,65
substitution,vervanging,65
approximation,benadering,65
joyride,joyride,65
employment,werkgelegenheid,65
liberation,bevrijding,65
deflation,deflatie,66
feather,veerkracht,66
vibration,trillingen,66
dissection,dissectie,66
wilding,wilding,66
novation,novatie,66
intrusion,indringing,66
enrichment,verrijking,66
own goal,eigen doelpunt,66
lockage,sluis,66
annexation,annexatie,67
realization,realisatie,67
pace lap,tempo ronde,67
economy of scale,schaalvoordeel,67
close call,op het nippertje,67
irruption,inval,67
semester hour,semester uur,67
inflammation,ontsteking,67
augmentation,vergroting,67
fulfillment,vervulling,67
amble,kuieren,68
braising,smoren,68
ignition,ontsteking,68
breakaway,losbreken,68
hunch,ingeving,68
emigration,emigratie,68
loosening,losmaken,68
renovation,vernieuwing,68
direct flight,directe vlucht,68
humiliation,vernedering,68
roasting,roosteren,69
last respects,laatste eer,69
roundhouse,rondhuis,69
baseball play,honkbal spelen,69
cheap shot,goedkoop schot,69
haymaker,hooier,69
arousal,opwinding,69
straddle,straddle,69
dogtrot,lynx,69
product development,product ontwikkeling,69
hike,wandeltocht,70
forehand,voorhand,70
fusion cooking,fusion koken,70
backhand,backhand,70
top dressing,topdressing,70
sampling,bemonstering,70
straight and narrow,recht en smal,70
looting,plunderen,70
bank closing,bank sluiting,70
flounce,volant,70
change of course,van koers veranderen,71
casting lots,loten werpen,71
change of state,verandering van staat,71
disturbance,verstoring,71
wag,kwispelen,71
extinction,uitsterven,71
blind flying,blind vliegen,71
conquest,verovering,71
optimization,optimalisatie,71
pickings,plukjes,71
strengthening,versterking,72
schlep,schlep,72
kowtow,kowtow,72
price cutting,prijsverlaging,72
butt welding,stomplassen,72
tip-off,tip,72
land reform,landhervorming,72
anchorage,ankerplaats,72
concourse,samenloop,72
housing start,huisvesting start,72
emptying,leegmaken,73
sclaff,sclaff,73
specific performance,specifieke prestatie,73
safe harbor,veilige haven,73
change of color,verandering van kleur,73
tax cut,belastingverlaging,73
flash welding,flitslassen,73
joggle,joggen,73
junketing,junken,73
upturn,opleving,73
temperance,matigheid,74
truncation,inkorting,74
advancement,vooruitgang,74
accumulation,accumulatie,74
revocation,herroeping,74
portage,overdragen,74
widening,verbreding,74
shtik,shtik,74
smacker,smaker,74
dissolution,ontbinding,74
cartwheel,radslag,75
beauty treatment,schoonheidsbehandeling,75
transformation,transformatie,75
trudge,sjokken,75
scamper,zwerver,75
homecoming,thuiskomst,75
saccade,saccade,75
masterpiece,meesterwerk,75
drenching,drenken,75
mountain climbing,bergbeklimmen,75
meat grinder,vleesmolen,76
liquidation,liquidatie,76
abstraction,abstractie,76
waver,wankelen,76
earned run,verdiende run,76
haymaking,hooien,76
product introduction,product Introductie,76
suicide pill,zelfmoord pil,76
mousetrap,muizeval,76
cost cutting,kostenbesparing,76
doweling,deuvel,77
convergence,convergentie,77
twiddle,twiddle,77
remand,voorarrest,77
bloodbath,bloedbad,77
shortening,verkorting,77
broadening,verbreding,77
circumnavigation,omvaart,77
elongation,verlenging,77
decrease,kleiner worden,77
rebuilding,wederopbouw,78
elaboration,uitwerking,78
waddle,waggelen,78
redeye,rood oog,78
expunction,uitleg,78
bowdlerization,bowlen,78
plosion,plosie,78
circumvolution,bocht,78
props,rekwisieten,78
deletion,verwijderen,78
domestic violence,huiselijk geweld,79
overhaul,herziening,79
shadowing,schaduwen,79
ushering in,inluiden,79
comeback,terugkomen,79
snowboarding,snowboarden,79
pronation,pronatie,79
lockstep,lockstep,79
peace initiative,vredesinitiatief,79
obstruction,obstructie,79
disruption,ontregeling,80
maiden voyage,eerste reis,80
ligation,afbinding,80
ambulation,ambulant,80
forgiveness,vergiffenis,80
brouhaha,broehaha,80
transshipment,overslag,80
scissors kick,schaar kick,80
rabbit punch,konijn punch,80
ford,doorwaadbare plaats,80
avulsion,avulsie,81
exemption,vrijstelling,81
plain sailing,gewoon zeilen,81
acceleration,versnelling,81
handspring,handvering,81
airlift,luchtbrug,81
coup,staatsgreep,81
staging,enscenering,81
contract killing,contract moord,81
footstep,voetstap,81
dilution,verdunning,82
domestic flight,Binnenlandse vlucht,82
angulation,hoeking,82
wayfaring,zwervend,82
rappel,abseilen,82
qualification,kwalificatie,82
passing shot,passerend schot,82
uppercut,uppercut,82
incision,insnijding,82
vandalism,vandalisme,82
corrugation,gegolfd,83
poke check,poke check,83
nutation,nutatie,83
depletion,uitputting,83
amplification,versterking,83
hardening,verharding,83
laceration,snijwond,83
steam fitting,stoom fitting,83
deforestation,ontbossing,83
reentry,terugkeer,83
indemnification,vrijwaring,84
plant closing,fabriekssluiting,84
lurch,slingeren,84
mumbling,mompelend,84
reveille,reveille,84
sprinkle,sprenkelen,84
base on balls,basis op ballen,84
abduction,ontvoering,84
branching,vertakking,84
suttee,suttee,84
international flight,internationale vlucht,85
whitewash,witwassen,85
dropkick,drop-kick,85
magnification,vergroting,85
resumption,hervatting,85
split ticket,gesplitst kaartje,85
catharsis,catharsis,85
permutation,permutatie,85
curtsy,buiging,85
rejuvenation,verjonging,85
levitation,levitatie,86
flit,fladderen,86
afforestation,bebossing,86
errand,boodschap,86
supplementation,aanvulling,86
scheduled maintenance,gepland onderhoud,86
poaching,stroperij,86
toasting,roosteren,86
lucky dip,Gelukkige dip,86
encasement,omhulsel,86
walkover,walkover,87
tonsure,tonsuur,87
birling,birling,87
retribution,vergelding,87
untying,losmaken,87
interference,interferentie,87
merging,samenvoegen,87
straight ticket,rechtstreeks kaartje,87
wing shooting,vleugel schieten,87
demarche,demarche,87
saturation,verzadiging,88
adduction,adductie,88
exhaustion,uitputting,88
flying colors,vliegende kleuren,88
bruxism,bruxisme,88
watering,water geven,88
incorporation,incorporatie,88
shirring,plooien,88
change of direction,verandering van richting,88
attainder,bereiker,88
spread eagle,verspreid adelaar,89
bleach,bleekmiddel,89
triple,verdrievoudigen,89
window dressing,raambekleding,89
icebreaker,ijsbreker,89
change of shape,verandering van vorm,89
seduction,verleiding,89
scatter,verstrooien,89
preferment,voorkeur,89
dolphin kick,dolfijn kick,89
derogation,afwijking,90
dealings,transacties,90
squeeze play,knijp spelen,90
poisoning,vergiftiging,90
red herring,rode Haring,90
baseball swing,honkbal schommel,90
ambages,ambages,90
depreciation,afschrijving,90
recompense,vergelden,90
laying waste,afval leggen,90
finalization,afronding,91
swerve,uitwijken,91
piggyback,meeliften,91
multiple voting,meervoudig stemmen,91
Sunnah,Soennah,91
overspill,overloop,91
transfusion,transfusie,91
plundering,plunderen,91
readmission,heropname,91
dismount,afstappen,91
involution,involutie,92
constitutional,constitutioneel,92
gassing,vergassen,92
teeoff,afslaan,92
run-up,aanloop,92
rustication,rustiek,92
aeration,beluchting,92
maiden flight,eerste vlucht,92
septation,septatie,92
nystagmus,nystagmus,92
plodding,ploeteren,93
subdivision,onderverdeling,93
backstop,terugslag,93
telemark,telemarken,93
bifurcation,bifurcatie,93
hecatomb,hecatombe,93
swoop,duikvlucht,93
pub crawl,kroegentocht,93
narrowing,vernauwing,93
extermination,uitroeiing,93
race riot,rassenrellen,94
reverse split,omgekeerde splitsing,94
terrain flight,terreinvlucht,94
convolution,convolutie,94
laying on of hands,handoplegging,94
ramble,zwerftocht,94
euthanasia,euthanasie,94
triple play,driedubbel spelen,94
harakiri,harakiri,94
mottling,vlekkerig,94
incurvation,kromming,95
vertical integration,verticale integratie,95
u-turn,u-bocht,95
interchange,uitwisseling,95
flip-flop,slipper,95
footfault,voetfout,95
emergence,verschijning,95
figuration,figuratie,95
displacement,verplaatsing,95
follow-through,vervolg,95
subversion,ondermijning,96
physical rehabilitation,fysieke revalidatie,96
stabilization,stabilisatie,96
sidestroke,zijslag,96
dog paddle,hondenpeddel,96
urban renewal,stadsvernieuwing,96
facial,gezichtsbehandeling,96
worrying,zorgen maken,96
genuflection,knieval,96
dilation,verwijding,96
landing approach,landing nadering,97
aborticide,abortus,97
induced abortion,opgewekte abortus,97
face saver,gezichtsbespaarder,97
casting vote,beslissende stem,97
tax shelter,belastingparadijs,97
market penetration,marktpenetratie,97
graduation,diploma uitreiking,97
change of integrity,verandering van integriteit,97
long haul,lange afstand,97
genocide,volkerenmoord,98
instrument landing,instrument landing,98
pick-off,afhaling,98
cupboard love,kast liefde,98
groundbreaking,baanbrekend,98
reclamation,terugwinning,98
aircraft landing,vliegtuigen landen,98
connecting flight,aansluitende vlucht,98
articulation,articulatie,98
decimation,decimering,98
tenderization,malsheid,99
assisted suicide,hulp bij zelfdoding,99
secret ballot,geheime stemming,99
random sampling,willekeurige steekproeven,99
devaluation,devaluatie,99
road rage,verkeersagressie,99
breaststroke,schoolslag,99
face-off,face-off,99
bombing,bombardementen,99
fertilization,bevruchting,99
dust contamination,stof vervuiling,100
ball hawking,bal hawking,100
cumulative vote,cumulatieve stem,100
dislodgment,losraken,100
washup,afwassen,100
lockout,uitsluiting,100
detachment,onthechting,100
walk-through,doorloop,100
horizontal integration,horizontale integratie,100
censoring,censureren,100
deceleration,vertraging,101
transplant,transplantatie,101
equalizer,gelijkmaker,101
abolition,afschaffing,101
tack,overstag gaan,101
honorable discharge,eervol ontslag,101
consummation,voleinding,101
vocational rehabilitation,beroepsrevalidatie,101
percolation,percolatie,101
meddling,bemoeienis,101
divergence,divergentie,102
abatement,vermindering,102
victory lap,overwinningsronde,102
justification,rechtvaardiging,102
counterpunch,tegenstoot,102
inauguration,inhuldiging,102
therapeutic abortion,therapeutische abortus,102
amortization,afschrijvingen,102
incomplete abortion,onvolledige abortus,102
light adaptation,licht aanpassing,102
jail delivery,gevangenis levering,103
wallop,opscheppen,103
footwork,voetenwerk,103
fastening,bevestiging,103
adornment,versiering,103
choking,verstikking,103
commutation,commutatie,103
dissociation,dissociatie,103
demotion,degradatie,103
male orgasm,mannelijk orgasme,103
bell ringer,klokkenluider,104
goal-kick,doeltrap,104
downspin,downspin,104
digression,uitweiding,104
gallantry,dapperheid,104
acrobatics,acrobatiek,104
emphasizing,benadrukkend,104
itineration,rondreis,104
circumcision,besnijdenis,104
ornamentation,versiering,104
deregulation,deregulering,105
specialization,specialisatie,105
slash,schuine streep,105
soiling,vervuiling,105
emancipation,emancipatie,105
vaporization,verdamping,105
induction of labor,inductie van arbeid,105
glissade,glissade,105
parasailing,parasailen,105
subrogation,subrogatie,105
weakening,verzwakking,106
colonization,kolonisatie,106
pirouette,pirouette,106
reorganization,reorganisatie,106
tightening,aanscherping,106
palliation,palliatie,106
dark adaptation,donkere aanpassing,106
depilation,ontharing,106
haute cuisine,haute cuisine,106
immolation,opoffering,106
authorship,auteurschap,107
change of magnitude,verandering van grootte,107
decontamination,ontsmetting,107
detonation,ontploffing,107
saunter,slenteren,107
wetting,bevochtigen,107
maneuver,manoeuvreren,107
modernization,modernisering,107
reinstatement,herplaatsing,107
leapfrog,haasje-over,107
rumination,herkauwen,108
rollback,terugrollen,108
aggravation,verergering,108
suicide bombing,zelfmoordaanslag,108
plication,toepassing,108
check-in,Check in,108
burnup,opbranden,108
fibrillation,fibrillatie,108
transgression,overtreding,108
metamorphosis,metamorfose,108
contraction,samentrekking,109
gratification,bevrediging,109
swabbing,zwabberen,109
entree,voorgerecht,109
smashing,verpletterend,109
clamber,klauteren,109
troop movement,troepenbeweging,109
vaginismus,vaginisme,109
refreshment,verfrissing,109
incineration,verbranding,109
traversal,doorkruisen,110
miscue,mislukken,110
overturn,omverwerpen,110
scission,splitsing,110
abrogation,intrekking,110
electrolysis,elektrolyse,110
curtain raiser,gordijnkoord,110
abscission,abscissie,110
supination,supinatie,110
deathblow,doodsteek,110
blind alley,doodlopende straat,111
ballooning,ballonvaren,111
quantization,kwantisatie,111
cannulation,canulatie,111
overthrow,omverwerping,111
hibernation,winterslaap,111
eurythmy,euritmie,111
lineation,belijning,111
fetal movement,foetale beweging,111
mydriasis,mydriasis,111
adulteration,vervalsing,112
sterilization,sterilisatie,112
beautification,verfraaiing,112
warpath,oorlogspad,112
indentation,inspringing,112
alienation,vervreemding,112
kindness,vriendelijkheid,112
discontinuance,stopzetting,112
springboard,springplank,112
spontaneous abortion,spontane abortie,112
outburst,uitbarsting,113
airdrop,luchtdrop,113
suffocation,verstikking,113
politeness,beleefdheid,113
take-up,oppakken,113
carom,carambole,113
scald,verbranden,113
defacement,defacement,113
easing,versoepeling,113
perfusion,doorbloeding,113
trailing,achterblijvend,114
downswing,downswing,114
resettlement,hervestiging,114
repatriation,repatriëring,114
use immunity,gebruik immuniteit,114
prostration,uitputting,114
countermarch,tegenmars,114
annihilation,vernietiging,114
confluence,samenvloeiing,114
safety blitz,veiligheidsblitz,114
barbecuing,barbecueën,115
depredation,plundering,115
gastronomy,gastronomie,115
switcheroo,switcheroo,115
official immunity,officiële immuniteit,115
secession,afscheiding,115
co-option,coöptatie,115
diversification,diversificatie,115
decompression,decompressie,115
spoliation,plundering,115
vampirism,vampirisme,116
linguistic performance,taalkundige prestaties,116
supplanting,verdringen,116
sovereign immunity,soevereine immuniteit,116
prorogation,prorogatie,116
autotomy,autotomie,116
interplay,wisselwerking,116
distention,uitzetting,116
Turkish bath,Turks bad,116
Alpinism,alpinisme,116
banditry,banditisme,117
hang gliding,Delta vliegen,117
vasotomy,vasotomie,117
titillation,prikkeling,117
naturalization,naturalisatie,117
manumission,vrijlating,117
disinheritance,onterving,117
divarication,aftakking,117
redress,genoegdoening,117
spending spree,uitgaven spree,117
counterblow,tegenslag,118
supersedure,vervangen,118
liberalization,liberalisering,118
discoloration,verkleuring,118
denudation,onthulling,118
sanitation,sanitaire voorzieningen,118
shape-up,vormgeven,118
sexual conquest,seksuele verovering,118
gyration,ronddraaien,118
scouting trip,verkenningstocht,118
derring-do,dering-do,119
suicide squeeze play,zelfmoord knijpen spelen,119
circumduction,omleiding,119
safety squeeze play,veiligheid knijpen spelen,119
imminent abortion,dreigende abortus,119
half volley,halve volley,119
flutter kick,slechte trap,119
going ashore,aan land gaan,119
dislocation,ontwrichting,119
pitching change,pitching verandering,119
delegacy,delegatie,120
refocusing,herfocussen,120
simplification,vereenvoudiging,120
masterstroke,meesterzet,120
laparotomy,laparotomie,120
protrusion,uitsteeksel,120
tax avoidance,belastingontduiking,120
handover,overhandigen,120
endurance riding,uithoudingsvermogen rijden,120
dermabrasion,dermabrasie,120
infanticide,kindermoord,121
keystroke,toetsaanslag,121
exaggeration,overdrijving,121
amelioration,verbetering,121
defloration,ontmaagding,121
cutback,Verminderen,121
bull's eye,in de roos,121
